Use case,Industry,Commercial Name,Chemical Name,Chemical Formula,Density (g/cm3),Tensile Strength (MPa),Yield Strength (MPa),Melting Point (C),Thermal Conductivity (W/m.K),Specific Heat Capacity (J/g.K),Property Overlap,Reference
Aircraft fuselage,Aerospace,2024 Aluminum Alloy,Aluminum-Copper Alloy,Al-Cu-Mg,2.77-2.78,470-480,325-335,500-650,120-130,0.85-0.90,"High strength for structural integrity, Good fatigue resistance, Lightweight for fuel efficiency",Wikipedia: 2024 Aluminium Alloy
Landing gear components,Aerospace,300M Steel,Low-Alloy Vacuum Melted Steel,Fe-Cr-Ni-Mo,7.80-7.85,"1,930-2,070","1,720-1,860","1,425-1,530",44-48,0.46-0.50,"Ultra-high tensile strength, Excellent fracture toughness, Fatigue resistance under cyclic loads",ASM Aerospace Specification Metals Inc.: 300M Steel
Helicopter rotor blades,Aerospace,Carbon Fiber Reinforced Polymer,Carbon Fiber Epoxy Composite,CFRP,1.55-1.60,"1,500-1,800","1,200-1,500",,10-May,0.88-0.92,"Lightweight for aerodynamics, High tensile strength, Corrosion resistance",Wikipedia: Carbon Fiber Reinforced Polymer
Spacecraft insulation,Aerospace,Kapton,Polyimide Film,(C22H10N2O5)n,1.42-1.44,,,500-600,0.12-0.20,1.09-1.20,"High-temperature stability, Excellent electrical insulation, Lightweight for space applications",Wikipedia: Kapton
Aircraft engine mounts,Aerospace,Maraging Steel (250 Grade),Nickel-Maraging Steel,Fe-Ni-Co-Mo-Ti,8.00-8.10,"1,700-1,900","1,600-1,800","1,400-1,500",25-30,0.45-0.50,"Very high strength, Toughness for impact resistance, Good corrosion resistance",Wikipedia: Maraging Steel
Rocket casings,Aerospace,7075 Aluminum Alloy,Aluminum-Zinc Alloy,Al-Zn-Mg-Cu,2.80-2.81,510-540,430-480,475-635,130-150,0.87-0.90,"High strength-to-weight ratio, Good fatigue resistance, Corrosion resistance with anodizing",Wikipedia: 7075 Aluminium Alloy
Satellite structures,Aerospace,Magnesium Alloy (AZ31),Magnesium-Aluminum-Zinc Alloy,Mg-Al-Zn,1.77-1.78,250-275,200-225,610-650,96-100,1.02-1.10,"Low density for weight savings, Good machinability, Moderate strength",Wikipedia: Magnesium Alloy
Aircraft fasteners,Aerospace,A-286 Alloy,Iron-Nickel-Chromium Alloy,Fe-Ni-Cr-Ti-Al,7.90-8.00,"930-1,000",660-690,"1,350-1,400",15-20,0.45-0.50,"Oxidation resistance at high temperatures, Good mechanical properties, High strength-to-weight ratio",Wikipedia: A-286 Steel
Jet engine turbine blades,Aerospace,Rene 41,Nickel-Based Superalloy,Ni-Cr-Co-Mo,8.36-8.38,"1,310-1,380","1,000-1,100","1,200-1,300",14-Nov,0.40-0.45,"High-temperature strength, Oxidation and corrosion resistance, Creep resistance under extreme conditions",Wikipedia: Rene 41
Spacecraft structural components,Aerospace,Aluminum-Lithium Alloy,Aluminum-Lithium Alloy,Al-Li-Cu,2.55-2.60,470-520,400-450,635-650,150-160,0.85-0.90,"Reduced weight for fuel efficiency, High stiffness, Superior fatigue resistance",Wikipedia: Aluminium-Lithium Alloy
Aircraft wing skins,Aerospace,7475 Aluminum Alloy,Aluminum-Zinc Alloy,Al-Zn-Mg-Cu,2.83-2.85,510-540,440-470,475-635,130-150,0.87-0.90,"Improved fracture toughness, High fatigue resistance, Low weight",Wikipedia: 7475 Aluminium Alloy
Rocket motor cases,Aerospace,D6AC Steel,Low-Alloy Ultra-High-Strength Steel,Fe-Cr-Mo-V,7.80-7.85,"1,860-1,930","1,720-1,800","1,425-1,530",44-48,0.46-0.50,"High impact strength, Superior fatigue resistance, Good weldability",ASM Aerospace Specification Metals Inc.: D6AC Steel
Helicopter tail rotors,Aerospace,Glass Fiber Reinforced Polymer,Glass Fiber Epoxy Composite,GFRP,1.80-1.90,700-900,600-800, ,0.30-0.40,0.90-1.00,"Lightweight with high strength, Impact resistance, Corrosion resistance",Wikipedia: Glass Fiber Reinforced Polymer
Aircraft wing structures,Aerospace,2024 Aluminum Alloy,Aluminum-Copper Alloy,Al-Cu-Mg,2.77-2.78,470-480,325-335,500-650,120-130,0.85-0.90,"High strength for structural integrity, Good fatigue resistance, Lightweight for fuel efficiency",Wikipedia: 2024 Aluminium Alloy
Fuselage panels,Aerospace,7075 Aluminum Alloy,Aluminum-Zinc Alloy,Al-Zn-Mg-Cu,2.80-2.81,510-540,430-480,475-635,130-150,0.87-0.90,"High strength-to-weight ratio, Good fatigue resistance, Corrosion resistance with anodizing",Wikipedia: 7075 Aluminium Alloy
Aircraft fittings,Aerospace,6061 Aluminum Alloy,Aluminum-Magnesium-Silicon Alloy,Al-Mg-Si,2.70-2.72,310-350,270-300,580-650,150-170,0.90-0.95,"Good corrosion resistance, Moderate strength, Excellent weldability",Wikipedia: 6061 Aluminium Alloy
Wing skins,Aerospace,7050 Aluminum Alloy,Aluminum-Zinc Alloy,Al-Zn-Mg-Cu,2.83-2.85,510-540,440-470,475-635,130-150,0.87-0.90,"High strength in thick sections, Good corrosion resistance, Superior fracture toughness",Wikipedia: 7050 Aluminium Alloy
Structural components,Aerospace,6063 Aluminum Alloy,Aluminum-Magnesium-Silicon Alloy,Al-Mg-Si,2.69-2.70,205-215,170-180,615-655,200-210,0.90-0.95,"Good extrusion properties, Moderate strength, Corrosion resistance",Wikipedia: 6063 Aluminium Alloy
High-strength applications,Aerospace,7068 Aluminum Alloy,Aluminum-Zinc-Magnesium-Copper Alloy,Al-Zn-Mg-Cu,2.80-2.90,640-650,600-610,476-635,180-200,0.90-0.95,"Highest strength aluminum alloy, Superior fatigue resistance, Corrosion resistance",Wikipedia: 7068 Aluminium Alloy
Aircraft structures,Aerospace,2014 Aluminum Alloy,Aluminum-Copper Alloy,Al-Cu-Mg-Si,2.80-2.83,400-450,275-325,500-650,150-170,0.85-0.90,"High strength, Excellent machinability, Good fatigue resistance",Wikipedia: 2014 Aluminium Alloy
Fuselage frames,Aerospace,7055 Aluminum Alloy,Aluminum-Zinc Alloy,Al-Zn-Mg-Cu,2.82-2.84,570-600,490-510,475-635,130-150,0.87-0.90,"Very high strength, Good fatigue resistance, Corrosion resistance",Wikipedia: 7055 Aluminium Alloy
Wing ribs,Aerospace,7475 Aluminum Alloy,Aluminum-Zinc Alloy,Al-Zn-Mg-Cu,2.83-2.85,510-540,440-470,475-635,130-150,0.87-0.90,"Improved fracture toughness, High fatigue resistance, Low weight",Wikipedia: 7475 Aluminium Alloy
Landing gear components,Aerospace,7079 Aluminum Alloy,Aluminum-Zinc Alloy,Al-Zn-Mg-Cu,2.80-2.82,510-540,430-460,475-635,130-150,0.87-0.90,"High strength-to-weight ratio, Fatigue and stress resistance, Corrosion resistance",Wikipedia: 7079 Aluminium Alloy
Spacecraft structures,Aerospace,2219 Aluminum Alloy,Aluminum-Copper Alloy,Al-Cu,2.84-2.86,380-420,270-300,500-650,120-130,0.85-0.90,"High-temperature resistance, Excellent weldability, Good strength",Wikipedia: 2219 Aluminium Alloy
Fuel tanks,Aerospace,5052 Aluminum Alloy,Aluminum-Magnesium Alloy,Al-Mg,2.68-2.70,210-230,160-180,600-650,140-150,0.90-0.95,"Excellent corrosion resistance, Good workability, Moderate strength",Wikipedia: 5052 Aluminium Alloy
Hydraulic tubing,Aerospace,6061 Aluminum Alloy,Aluminum-Magnesium-Silicon Alloy,Al-Mg-Si,2.70-2.72,310-350,270-300,580-650,150-170,0.90-0.95,"Good corrosion resistance, Moderate strength, Excellent weldability",Wikipedia: 6061 Aluminium Alloy
Engine components,Aerospace,4032 Aluminum Alloy,Aluminum-Silicon Alloy,Al-Si,2.68-2.70,380-420,320-360,570-640,150-160,0.85-0.90,"High wear resistance, Good thermal stability, High strength",Wikipedia: 4032 Aluminium Alloy
Structural forgings,Aerospace,7049 Aluminum Alloy,Aluminum-Zinc Alloy,Al-Zn-Mg-Cu,2.80-2.82,510-540,430-460,475-635,130-150,0.87-0.90,"High strength, Good stress corrosion resistance, Good fatigue strength",Wikipedia: 7049 Aluminium Alloy
