Material ID,Remarks,Name,Melting Point (°C),Electrical Conductivity (S/m),"Catalytic Activity (TOF, s^-1)","Hardness (Vickers, HV)"
,AuRoFUSE™ paste,Au (submicron particles),1066,46 x 10^6,,25
,EP46HT epoxy,Proprietary epoxy blend,, - ,,
,Ag/Ni composite,Ag0.9Ni0.1,970,52.5 x 10^6,,110
,Pt/Pd catalyst,Pt0.7Pd0.3,1725,9.75 x 10^6,28,45
,Ag amalgam,Ag3Sn,650,1.5 x 10^6,,125
,Pt nanoparticles,Pt,1769,9.5 x 10^6,12,
,Ag-filled epoxy,Ag in polymer matrix,,3 x 10^6,,
,Au-Ag-Cu alloy,Au0.75Ag0.125Cu0.125,765,42.5 x 10^6,,160
,Ag-Pd alloy,Ag0.7Pd0.3,1150,52.5 x 10^6,,110
,Au thin film,Au,1066,46.5 x 10^6,,25
,Pt-Rh alloy,Pt0.87Rh0.13,1840,9.75 x 10^6,,110
,Ag-Cu-Zn alloy,Ag0.45Cu0.3Zn0.25,675,42.5 x 10^6,,130
,Ag coating,Ag,961,62 x 10^6,,27
,Au nanoparticles,Au,1066,46.5 x 10^6,,
,Au plating,Au,1066,46.5 x 10^6,,25
,Ir-Pt alloy,Ir0.8Pt0.2,2325,20 x 10^6,,225
,Pt-Ir alloy,Pt0.9Ir0.1,1790,9.75 x 10^6,,140
,Ag paste,Ag,961,62 x 10^6,,27
,Pd thin film,Pd,1554,9.75 x 10^6,,45
,Au-Ag-Cu alloy,Au0.69Ag0.25Cu0.06,825,42.5 x 10^6,,140
,Pt-Rh coating,Pt0.9Rh0.1,1840,9.75 x 10^6,,110
,Au-Sn solder,Au0.8Sn0.2,290,8.5 x 10^6,,60
,Pt-W alloy,Pt0.92W0.08,1725,8.5 x 10^6,,225
,Pt-Al alloy,Pt3Al,1575,2.5 x 10^6,,325
,Au nanoparticles,Au,1066,46.5 x 10^6,,
,Ir-Re alloy,Ir0.8Re0.2,2325,4.5 x 10^6,,425
,Pd-Ag membrane,Pd0.75Ag0.25,1225,16 x 10^6,,110
,Ag-Au alloy,Ag0.95Au0.05,970,61 x 10^6,,35
,Au nanoparticles,Au,1066,46.5 x 10^6,,
,Ag nanowires,Ag,961,62 x 10^6,,
,Ruthenium alloy,Ru0.9Co0.1,2300,14 x 10^6,,225
,Ruthenium coating,Ru,2300,14 x 10^6,,225
,Ruthenium dioxide,RuO2,1250,2 x 10^4,,900
,Ruthenium-coated titanium,Ru/Ti,2300,14 x 10^6,1,225
,Ruthenium catalyst,Ru/Al2O3,2300, - ,15,
,Platinum-ruthenium alloy,Pt0.95Ru0.05,1850,10 x 10^6,,175
,Nickel-based superalloy,Ni0.6Al0.1Cr0.1Ru0.03Re0.06,1350,1.5 x 10^6,,450
,Ruthenium oxide,RuO2,1250,2 x 10^4,7,900
,Ruthenium dye,Ru(bpy)3(NCS)2,, - ,,
,Ruthenium complex,Ru(bpy)2(dppz)2+,, - ,,
,Rhodium catalyst,Rh,1975,22 x 10^6,22,125
,Rhodium complex,Rh(acac)CO(PPh3)3,, - ,200,
,Rhodium alloy,Pt0.9Rh0.1,1875,19 x 10^6,,225
,Rhodium coating,Rh,1975,22 x 10^6,,125
,Rhodium alloy,Rh0.9Pd0.1,1925,21 x 10^6,,145
,Rhodium foil,Rh,1975,22 x 10^6,,125
,Rhodium complex,Rh(COD)(DIPAMP),, - ,150,
,Rhodium-platinum alloy,Pt0.87Rh0.13,1875,19 x 10^6,,205
,Rhodium coating,Rh,1975,22 x 10^6,,125
,Rhodium nanoparticles,Rh,1975,22 x 10^6,7,
,Palladium catalyst,Pd,1555,10 x 10^6,36,45
,Palladium nanoparticles,Pd,1555,10 x 10^6,12,
,Palladium alloy,Pd0.9Ag0.1,1525,16 x 10^6,,110
,Palladium alloy,Pd0.95Ru0.05,1575,9.75 x 10^6,,140
,Palladium-silver alloy,Pd0.6Ag0.3Cu0.1,1250,15 x 10^6,,225
,Palladium membrane,Pd,1555,10 x 10^6,,45
,Palladium complex,Pd(PPh3)4,, - ,125,
,Hierarchical palladium,Pd,1555,10 x 10^6,85,45
,Palladium thin film,Pd,1555,10 x 10^6,,45
,Palladium coating,Pd,1555,10 x 10^6,,45
,Silver catalyst,Ag,962,62 x 10^6,22,27
,Silver paste,Ag,962,62 x 10^6,,27
,Silver alloy,Ag0.9Cu0.1,925,59 x 10^6,,75
,Sterling silver,Ag0.925Cu0.075,905,57 x 10^6,,80
,Silver nanoparticles,Ag,962,62 x 10^6,,27
,Silver halide,AgBr,432, - ,,
,Silver ion,Ag+,, - ,,
,Silver-zinc alloy,AgZn,725,42.5 x 10^6,,110
,Silver-copper alloy,Ag0.72Cu0.28,800,52.5 x 10^6,,95
,Silver-doped phosphor,Ag:YAG,, - ,,
,Silver-based ink,Ag,961,62 x 10^6,,27
,Silver nanoparticles,Ag,961,62 x 10^6,,
,Silver paste,Ag,961,62 x 10^6,,27
,Silver alloy,Ag-Cu,869,58 x 10^6,,80
,Silver coating,Ag,961,62 x 10^6,,27
,Silver-filled epoxy,Ag in polymer matrix,,3 x 10^6,,
,Silver compound,AgNO3,, - ,,
,Silver catalyst,Ag,961,62 x 10^6,36,27
,Silver oxide,Ag2O,, - ,,
,Silver sheathing,Ag,961,62 x 10^6,,27
,Silver nanoparticles,Ag,961,62 x 10^6,,
,Silver-coated fabric,Ag,961,62 x 10^6,,
,Silver nanoparticles,Ag,961,62 x 10^6,,
,Silver nanoparticles,Ag,961,62 x 10^6,,
,Silver nanoparticles,Ag,961,62 x 10^6,,
,Silver catalyst,Ag,961,62 x 10^6,36,27
,Silver-based coating,Ag,961,62 x 10^6,,
,Silver nanoparticles,Ag,961,62 x 10^6,,
,Silver nanoparticles,Ag,961,62 x 10^6,,
,Silver-doped biomaterials,Ag,961,62 x 10^6,,
,Silver nanoparticles,Ag,961,62 x 10^6,,27
,Silver-infused plastic,Ag in polymer matrix,, - ,,
,Silver coating,Ag,961,62 x 10^6,,27
,Silver alloy,Ag0.925Cu0.075,869,58 x 10^6,,80
,Silver nanoparticles,Ag,961,62 x 10^6,,
,Silver-coated fabric,Ag,961,62 x 10^6,,
,Silver amalgam,Ag3Sn,650,1.5 x 10^6,,125
,Silver coating,Ag,961,62 x 10^6,,27
,Silver-coated components,Ag,961,62 x 10^6,,27
,Silver nanoparticles,Ag,961,62 x 10^6,,
,Osmium alloy,Os0.9Ir0.1,3050,11.5 x 10^6,,3250
,Osmium alloy,Os0.8Pt0.2,2950,10.5 x 10^6,,3000
,Osmium catalyst,Os,3025,11 x 10^6,36,3250
,Osmium tetroxide,OsO4,41, - ,,
,Osmium complex,Os(PPh3)3Cl2,, - ,125,
,Osmium thin film,Os,3025,11.5 x 10^6,,3250
,Osmium alloy,Os0.5Pt0.5,2750,9.75 x 10^6,,2750
,Osmium-based superalloy,Os0.1Ni0.6Al0.2Re0.1,1450,1.5 x 10^6,,450
,Osmium complex,OsO4(DHQD)2PHAL,, - ,85,
,Osmium-187,187Os,3025,11.5 x 10^6,,3250
,Platinum catalyst,Pt,1769,9.5 x 10^6,36,45
,Pure platinum,Pt,1769,9.5 x 10^6,,45
,Platinum alloy,Pt0.9Ir0.1,1775,9.75 x 10^6,,140
,Platinum wire,Pt,1769,9.5 x 10^6,,45
,Platinum nanoparticles,Pt,1769,9.5 x 10^6,12,
,Platinum compound,Pt(NH3)2Cl2,, - ,,
,Pure platinum,Pt,1769,9.5 x 10^6,,45
,Platinum alloy,Pt0.9Rh0.1,1725,9.75 x 10^6,,110
,Platinum-rhodium alloy,Pt0.87Rh0.13,1725,9.75 x 10^6,,110
,Platinum bullion,Pt,1769,9.5 x 10^6,,45
,Gold alloy,Au0.75Cu0.25,1025,42.5 x 10^6,,140
,Gold coating,Au,1066,46.5 x 10^6,,25
,Gold nanoparticles,Au,1066,46.5 x 10^6,36,
,Gold alloy,Au0.75Ag0.15Cu0.1,925,37.5 x 10^6,,160
,Gold coating,Au,1066,46.5 x 10^6,,25
,Gold compound,Au2O3,, - ,,
,Gold nanoparticles,Au,1066,46.5 x 10^6,125,
,Gold leaf,Au,1066,46.5 x 10^6,,25
,Gold alloy,Au0.75Pt0.25,1425,37.5 x 10^6,,140
,Gold bullion,Au,1066,46.5 x 10^6,,25
,Gold coating,Au,1066,46.5 x 10^6,,25
,Gold compound,Au2O3,, - ,,
,Gold alloy,Au0.75Ag0.15Pd0.1,925,37.5 x 10^6,,160
,Gold salts,AuNa2(S2O3)2·2H2O,, - ,,
,Gold plating,Au,1066,46.5 x 10^6,,25
,Gold connectors,Au,1066,46.5 x 10^6,,25
,Gold leaf,Au,1066,46.5 x 10^6,,25
,Gold nanoparticles,Au,1066,46.5 x 10^6,,
,Gold catalyst,Au,1066,46.5 x 10^6,125,
,Gold-coated glass,Au,1066,46.5 x 10^6,,25
,Gold coating,Au,1066,46.5 x 10^6,,25
,Gold-coated glass,Au,1066,46.5 x 10^6,,25
,Gold coating,Au,1066,46.5 x 10^6,,25
,Gold coating,Au,1066,46.5 x 10^6,,25
,Gold leaf,Au,1066,46.5 x 10^6,,25
,Gold nanoparticles,Au,1066,46.5 x 10^6,,
,Gold nanoparticles,Au,1066,46.5 x 10^6,,
,Gold compound,Au2O3,, - ,,
,Gold alloy,Au,1066,46.5 x 10^6,,25
,Gold nanoparticles,Au,1066,46.5 x 10^6,,
,Gold leaf,Au,1066,46.5 x 10^6,,25
,Gold flakes,Au,1066,46.5 x 10^6,,25
,Gold powder,Au,1066,46.5 x 10^6,,25
,Gold nanoparticles,Au,1066,46.5 x 10^6,,
,Gold salts,AuNa2(S2O3)2·2H2O,, - ,,
,Gold nanoparticles,Au,1066,46.5 x 10^6,,
,Gold nanoparticles,Au,1066,46.5 x 10^6,,
,Gold nanoparticles,Au,1066,46.5 x 10^6,,
,Gold nanoparticles,Au,1066,46.5 x 10^6,,
,Gold nanoparticles,Au,1066,46.5 x 10^6,,
,Iridium alloy,Ir0.8Pt0.2,2450,21 x 10^6,,1650
,Iridium alloy,Ir0.8Pt0.2,2450,21 x 10^6,,1650
,Pure iridium,Ir,2460,21.5 x 10^6,,1675
,Pure iridium,Ir,2460,21.5 x 10^6,,1675
,Iridium-coated titanium,Ir/Ti,2460,21.5 x 10^6,0.007,1675
,Iridium-coated titanium,Ir/Ti,2460,21.5 x 10^6,0.8,1675
,Iridium oxide,IrO2,1100,1 x 10^4,0.8,1100
,Iridium oxide,IrO2,1100,1 x 10^4,8,1300
,Iridium-192,192Ir,, - ,,
,Iridium-192,192Ir,, - ,,
,Iridium-192,192Ir,, - ,,
,Iridium-192,192Ir,, - ,,
,Iridium-rhenium alloy,Ir0.8Re0.2,2450,21 x 10^6,,1650
,Iridium-ruthenium alloy,Ir0.7Ru0.3,2450,21 x 10^6,,1650
